Name,SMILES,IC50 value (μM),Activity
A001,C[C@H]1C[C@@H](CN1C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=C(F)C=C(F)C=C4)NC(C)=O,54.299,0
A002,CNC1CCN(C1)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.055,1
A003,CC1=C(N2CCC(C2)[N]3C=CC=C3)C(=CN4C(=O)C(=CC(=C14)C5CC5)C(O)=O)F,0.986,1
A004,OC(=O)C1=CC(=C2C=C(N3CCNCC3)C(=CN2C1=O)F)C4CC4,150.897,0
A005,CC1=C(F)C(=CC2=C(C=C(C(O)=O)C(=O)N12)C3CC3)N4CCC(N)C4,2.258,1
A006,CN1CCN(CC1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=CC=C(F)C=C4,0.974,1
A007,CC1=C(N2CCC(C2)C3=NC=CC=C3)C(=CN4C(=O)C(=CC(=C14)C5CC5)C(O)=O)F,0.024,1
A008,NC1CCN(C1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.601,1
A009,CC1=C(N2CCC(CN)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.005,1
A010,CC1=C(N2CC(N)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.301,1
A011,CC1=C(N2CCC(C)(N)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,4.34,1
A012,C[C@H]1CN(C[C@H]1N)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,2.17,1
A013,C[C@@H](N)[C@H]1CCN(C1)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.005,1
A014,COC1=C(N2CCC(N)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.138,1
A015,C[C@@H]1C[C@H](N)CN1C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.027,1
A016,CO[C@@H]1CN(C[C@H]1N)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.133,1
A017,CC1=C([N]2C=CN=C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.611,1
A018,CC1=C(N2C[C@H]3[C@H](N)[C@H]3C2)C(=CN4C(=O)C(=CC(=C14)C5CC5)C(O)=O)F,0.055,1
A019,C[C@H](N)[C@@H]1CCN(C1)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,<0.002,1
A020,C[C@@H](N)[C@@H]1CCN(C1)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.005,1
A021,CC1=C(N2CCCNCC2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.556,1
A022,CN1CCN(CC1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=C(F)C=C(F)C=C4,0.478,1
A023,COC1=CC=C(C=C1)C2=C3N=C(N4CCC(N)C4)C(=CN3C(=O)C(=C2)C(O)=O)F,251.01,0
A024,CCC1=C(N2CCC(N)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.278,1
A025,CC1=C(N2C[C@H]3CCC[C@H](N)[C@H]3C2)C(=CN4C(=O)C(=CC(=C14)C5CC5)C(O)=O)F,0.976,1
A026,OC1CCN(C1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=C(F)C=C(F)C=C4,0.123,1
A027,O.O.O.O.C[C@H]1CCC2=C3N1C=C(C(O)=O)C(=O)C3=CC(=C2N4CCC(O)CC4)F.N[C@@H](CCCNC(N)=N)C(O)=O,8.241,0
A028,CN1CCN(CC1)C2=C(F)C3=C(C=C2F)C(=O)C(=CN3\C=C/F)C(O)=O,196.553,0
A029,CCNC(=O)NC1=NC2=C([NH]1)C(=C(F)C(=C2)C3=CN=C(N=C3)C(C)(C)O)[C@H]4CCCO4,<0.021,1
A030,CCNC(=O)NC1=NC2=C([NH]1)C(=C(F)C(=C2)C3=CN=C(N=C3)C(C)(C)O[P](O)(O)=O)[C@H]4CCCO4,<0.017,1
A031,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=CC=C3)C4=NC=CC=C4,0.037,1
A032,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(C=C3)C(O)=O)C4=NC=CC=C4,0.002,1
A033,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCC(CC4)C(O)=O)C5=NC=CC=C5,0.019,1
A034,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCC(C)(CC4)C(O)=O)C5=NC=CC=C5,0.015,1
A035,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCC(CC)(CC4)C(O)=O)C5=NC=CC=C5,0.022,1
A036,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCC(CC4)(C(O)=O)C(F)(F)F)C5=NC=CC=C5,0.027,1
A037,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(C=C3)N4CCC(C)(CC4)C(O)=O)C5=NC=CC=C5,0.023,1
A038,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=NC=C(N=C3)N4CCC(C)(CC4)C(O)=O)C5=NC=CC=C5,0.038,1
A039,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CC(=CN=C3)N4CCC(C)(CC4)C(O)=O)C5=NC=CC=C5,0.029,1
A040,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=NC(=NS3)N4CCC(C)(CC4)C(O)=O)C5=NC=CC=C5,0.106,1
A041,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCCC4(C)C(O)=O)C5=NC=CC=C5,0.009,1
A042,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCC(C)(C4)C(O)=O)C5=NC=CC=C5,0.079,1
A043,CCNC(=O)NC1=NC2=C(S1)C(=CC(=C2)C3=CN=C(N=C3)N4CCCC(C)(CC4)C(O)=O)C5=NC=CC=C5,0.011,1
A044,NC1CCN(C1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=C(F)C=C(F)C=C4,0.247,1
A045,CC1=C(N2C[C@@H]3C[C@H]2CN3)C(=CN4C(=O)C(=CC(=C14)C5CC5)C(O)=O)F,17.347,0
A046,CC1=C(NCCN)C(=CN2C(=O)C(=CC(=C12)C3CC3)C(O)=O)F,4.885,1
A047,CN1CCN(CC1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,2.251,1
A048,C[C@H]1CN(C[C@@H](C)N1)C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.267,1
A049,CC1=C(N2CCC(O)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.014,1
A050,CCC1=C2N(C=C(F)C(=C2C)N3CCC(N)C3)C(=O)C(=C1)C(O)=O,37.497,0
A051,NC1CCN(C1)C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=C(F)C(=C(F)C(=C4F)F)F,109.094,0
A052,NC1CCN(C1)C2=C(Cl)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,0.546,1
A053,OC(=O)C1=CC(=C2N=C(N3CCOCC3)C(=CN2C1=O)F)C4CC4,>300.012,0
A054,C[C@H]1C[C@H](N)CN1C2=NC3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4=C(F)C=C(F)C=C4,119.508,0
A055,CC1=C(N2CC[C@@H](N)C2)C(=CN3C(=O)C(=CC(=C13)C4CC4)C(O)=O)F,0.028,1
A056,CN1CCN(CC1)C2=C(F)C3=C(C=C2F)C(=O)C(=CN3\C=C\F)C(O)=O,1807.638,0
A057,COC1=C2N(C=C(C(O)=O)C(=O)C2=CC=C1N3CC[C@H](C3)C4(N)CC4)[C@@H]5C[C@@H]5F,2.08,1
A058,C[C@H]1C[C@H](N)CN1C2=C(C)C3=C(C=C(C(O)=O)C(=O)N3C=C2F)C4CC4,4.34,1
A059,CC1=C(N2CCC(C2)[N]3C=CN=N3)C(=CN4C(=O)C(=CC(=C14)C5CC5)C(O)=O)F,1.962,1
A060,C[C@H](NC(=O)[C@@H]1CSCC2=C(O)C=C(O)C(=C2C(=O)OC[C@H](NC(=O)[C@@H]3[C@H](O)CCN3C(=O)[C@@H](N)CO)C(=O)N1)C)C(O)=O,0.077,1
A061,OC(=O)C1=CC(=C2N=C(N3CCNCC3)C(=CN2C1=O)F)C4CC4,2.346,1
A062,COC1=CC2=C(CCN(C2)C3CC(=NN3C4=C(C)OC(=N4)C5=C(F)C=C(F)C=C5)C6=CC=C(C=C6)C7=CC=CO7)C=C1,0.441,1
A063,CC1=C(N=C(O1)C2=C(F)C=C(F)C=C2)N3N=C(CC3N4CCC5=C(C4)C=CC=C5)C6=C(Cl)C=C(Cl)C=C6,0.926,1
A064,CC1=C(N=C(O1)C2=C(F)C=CC=C2)N3N=C(CC3N4CCC5=C(C4)C=CC=C5)C6=C(Cl)C=C(Cl)C=C6,10.548,0
