Name,smiles,IC50 nm,Activity
B001,O=C(O)CCC(=O)Nc1ccc(NC(=O)c2ccco2)cc1,12880,0
B002,Cc1ccc(C(=O)Nc2ccc(NC(=O)CCC(=O)O)cc2)o1,27630,0
B003,O=C(O)CCC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1,22640,0
B004,O=C(O)CCC(=O)Nc1ccc(NC(=O)c2cccs2)cc1,37630,0
B005,Cc1ccc(C(=O)Nc2ccc(NC(=O)CCC(=O)O)cc2)s1,37520,0
B006,O=C(O)CCC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,12490,0
B007,O=C(O)CCC(=O)Nc1ccc(NC(=O)c2ccc[nH]2)cc1,11060,0
B008,O=C(O)CCC(=O)Nc1ccc(NC(=O)C2CCCO2)cc1,24860,0
B009,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccco2)cc1,45420,0
B010,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc(C)o2)cc1,10330,0
B011,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1,28940,0
B012,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2cccs2)cc1,21990,0
B013,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc(C)s2)cc1,24660,0
B014,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,29490,0
B015,COC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc[nH]2)cc1,42450,0
B016,COC(=O)CCC(=O)Nc1ccc(NC(=O)C2CCCO2)cc1,11690,0
B017,NNC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccco2)cc1,39410,0
B018,Cc1ccc(C(=O)Nc2ccc(NC(=O)CCC(=O)NN)cc2)o1,5350,0
B019,NNC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])o2)cc1,35490,0
B020,NNC(=O)CCC(=O)Nc1ccc(NC(=O)c2cccs2)cc1,32560,0
B021,Cc1ccc(C(=O)Nc2ccc(NC(=O)CCC(=O)NN)cc2)s1,9710,0
B022,NNC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc([N+](=O)[O-])s2)cc1,26440,0
B023,NNC(=O)CCC(=O)Nc1ccc(NC(=O)c2ccc[nH]2)cc1,54870,0
B024,NNC(=O)CCC(=O)Nc1ccc(NC(=O)C2CCCO2)cc1,41200,0
B025,CO[C@@H]1[C@@H](OC(N)=O)[C@@H](O)[C@H](Oc2ccc3c(O)c(NC(=O)c4ccc(O)c(CC=C(C)C)c4)c(=O)oc3c2C)OC1(C)C,125,1
B026,O=C(O)CCCC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,1320,0
B027,O=C(O)CSCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,2310,0
B028,O=C(O)CCCCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,2900,0
B029,O=C(O)CSCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,3132,0
B030,COc1ccc2[nH]c(-c3ccc(NC(=O)COCC(=O)O)cc3)nc2c1,4340,0
B031,O=C(O)CC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,4932,0
B032,COC(=O)CCCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,5230,0
B033,O=C(O)CCCCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,5700,0
B034,O=C(O)COCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,6010,0
B035,O=C(O)COCC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,6125,0
B036,O=C(O)CCCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,6832,0
B037,O=C(O)CC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,6910,0
B038,O=C(O)CSCC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,6930,0
B039,O=C(O)COCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,6935,0
B040,O=C(O)CCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,7320,0
B041,O=C(O)COCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,8510,0
B042,COc1ccc2[nH]c(-c3ccc(NC(=O)CCCC(=O)O)cc3)nc2c1,8930,0
B043,O=C(O)CCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,9230,0
B044,COc1ccc2[nH]c(-c3ccc(NC(=O)CSCC(=O)O)cc3)nc2c1,9310,0
B045,O=C(O)CCCCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,9823,0
B046,COC(=O)CCCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,9830,0
B047,O=C(O)CCCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,9850,0
B048,COc1ccc2[nH]c(-c3ccc(NC(=O)CC(=O)O)cc3)nc2c1,11060,0
B049,O=C(O)CCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,11230,0
B050,O=C(O)CCCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,12600,0
B051,Cc1cc2ncn(CC(O)COc3cccc(C(=O)O)c3)c2cc1C,12880,0
B052,O=C(O)CCCCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,13060,0
B053,COc1ccc2[nH]c(-c3ccc(NC(=O)CCC(=O)O)cc3)nc2c1,13430,0
B054,O=C(O)CC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,13430,0
B055,O=C(O)CSCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,13830,0
B056,O=C(O)CCCCC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,15340,0
B057,O=C(O)COCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,15340,0
B058,Cc1sc2nc(SCC(=O)Nc3cccc(C(=O)O)c3)nc(O)c2c1C,17300,0
B059,O=C(O)CCC(=O)Nc1ccc(-c2nc3cc([N+](=O)[O-])ccc3[nH]2)cc1,17530,0
B060,O=C(O)CCC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,17600,0
B061,O=C(O)CCCC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,18530,0
B062,COC(=O)CCCC(=O)Nc1ccc(-c2nc3cc(F)ccc3[nH]2)cc1,18600,0
B063,COC(=O)CCCC(=O)Nc1ccc(-c2nc3cc(OC)ccc3[nH]2)cc1,21340,0
B064,O=C(O)CC(=O)Nc1ccc(-c2nc3cccnc3[nH]2)cc1,21800,0
B065,O=C(O)CSCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,22800,0
B066,COc1ccc2[nH]c(-c3ccc(NC(=O)CCCCC(=O)O)cc3)nc2c1,22930,0
B067,O=C(O)CC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,26350,0
B068,COC(=O)CCCC(=O)Nc1ccc(-c2nc3cc(Cl)ccc3[nH]2)cc1,35630,0
B069,COC(=O)CCCC(=O)Nc1ccc(-c2nc3ccccc3[nH]2)cc1,36310,0
B070,O=c1nc(/C=C/c2ccc(/C=C/c3cc(C(F)(F)F)[nH]c(=O)n3)cc2)cc(C(F)(F)F)[nH]1,42210,0
